frame_index,timestamp,elapsed_ms,num_poses_detected
61,2026-03-20T01:09:47.375,51.135,1
62,2026-03-20T01:09:47.431,51.394,1
63,2026-03-20T01:09:47.487,51.110,1
64,2026-03-20T01:09:47.542,50.288,1
65,2026-03-20T01:09:47.597,51.002,1
66,2026-03-20T01:09:47.651,49.359,1
67,2026-03-20T01:09:47.706,50.153,1
68,2026-03-20T01:09:47.762,51.965,1
69,2026-03-20T01:09:47.818,51.084,1
70,2026-03-20T01:09:47.875,52.227,1
71,2026-03-20T01:09:47.933,53.054,1
72,2026-03-20T01:09:47.990,53.294,1
73,2026-03-20T01:09:48.047,51.999,1
74,2026-03-20T01:09:48.103,51.161,1
75,2026-03-20T01:09:48.160,52.194,1
76,2026-03-20T01:09:48.214,49.479,1
77,2026-03-20T01:09:48.270,51.847,1
78,2026-03-20T01:09:48.324,49.432,1
79,2026-03-20T01:09:48.377,49.038,1
80,2026-03-20T01:09:48.431,49.540,1
81,2026-03-20T01:09:48.485,49.650,1
82,2026-03-20T01:09:48.538,49.493,1
83,2026-03-20T01:09:48.593,50.421,1
84,2026-03-20T01:09:48.647,49.680,1
85,2026-03-20T01:09:48.701,49.674,1
86,2026-03-20T01:09:48.756,50.183,1
87,2026-03-20T01:09:48.810,49.472,1
88,2026-03-20T01:09:48.865,50.498,1
89,2026-03-20T01:09:48.919,50.118,1
90,2026-03-20T01:09:48.974,50.099,1
91,2026-03-20T01:09:49.029,50.450,1
92,2026-03-20T01:09:49.083,49.670,1
93,2026-03-20T01:09:49.137,49.868,1
94,2026-03-20T01:09:49.191,49.962,1
95,2026-03-20T01:09:49.246,50.165,1
96,2026-03-20T01:09:49.300,49.494,1
97,2026-03-20T01:09:49.354,50.089,1
98,2026-03-20T01:09:49.410,51.346,1
99,2026-03-20T01:09:49.472,57.795,1
100,2026-03-20T01:09:49.526,49.417,1
101,2026-03-20T01:09:49.582,51.534,1
102,2026-03-20T01:09:49.639,52.246,1
103,2026-03-20T01:09:49.696,51.947,1
104,2026-03-20T01:09:49.753,52.040,1
105,2026-03-20T01:09:49.810,52.426,1
106,2026-03-20T01:09:49.866,51.349,1
107,2026-03-20T01:09:49.921,50.808,1
108,2026-03-20T01:09:49.977,51.510,1
109,2026-03-20T01:09:50.033,51.699,1
110,2026-03-20T01:09:50.088,50.708,1
111,2026-03-20T01:09:50.145,51.733,1
112,2026-03-20T01:09:50.200,51.106,1
113,2026-03-20T01:09:50.260,55.242,1
114,2026-03-20T01:09:50.317,52.236,1
115,2026-03-20T01:09:50.373,51.557,1
116,2026-03-20T01:09:50.427,49.497,1
117,2026-03-20T01:09:50.481,50.118,1
118,2026-03-20T01:09:50.536,50.282,1
119,2026-03-20T01:09:50.591,51.088,1
120,2026-03-20T01:09:50.648,52.635,1
121,2026-03-20T01:09:50.704,51.485,1
122,2026-03-20T01:09:50.759,50.992,1
123,2026-03-20T01:09:50.814,50.720,1
124,2026-03-20T01:09:50.869,50.547,1
125,2026-03-20T01:09:50.924,50.981,1
126,2026-03-20T01:09:50.979,50.529,1
127,2026-03-20T01:09:51.033,50.343,1
128,2026-03-20T01:09:51.090,52.501,1
129,2026-03-20T01:09:51.146,51.595,1
130,2026-03-20T01:09:51.202,51.283,1
131,2026-03-20T01:09:51.260,52.935,1
132,2026-03-20T01:09:51.314,50.067,1
133,2026-03-20T01:09:51.368,49.184,1
134,2026-03-20T01:09:51.422,49.973,1
135,2026-03-20T01:09:51.476,49.389,1
136,2026-03-20T01:09:51.530,50.236,1
137,2026-03-20T01:09:51.583,48.969,1
138,2026-03-20T01:09:51.637,49.428,1
139,2026-03-20T01:09:51.690,48.998,1
140,2026-03-20T01:09:51.743,48.774,1
141,2026-03-20T01:09:51.800,52.750,1
142,2026-03-20T01:09:51.855,49.945,1
143,2026-03-20T01:09:51.910,51.224,1
144,2026-03-20T01:09:51.966,50.649,1
145,2026-03-20T01:09:52.021,50.490,1
146,2026-03-20T01:09:52.076,50.932,1
147,2026-03-20T01:09:52.133,52.697,1
148,2026-03-20T01:09:52.191,53.149,1
149,2026-03-20T01:09:52.251,56.338,1
150,2026-03-20T01:09:52.305,49.299,1
151,2026-03-20T01:09:52.359,49.247,1
152,2026-03-20T01:09:52.415,51.912,1
153,2026-03-20T01:09:52.468,48.991,1
154,2026-03-20T01:09:52.524,51.900,1
155,2026-03-20T01:09:52.578,49.747,1
156,2026-03-20T01:09:52.634,51.337,1
157,2026-03-20T01:09:52.689,51.047,1
158,2026-03-20T01:09:52.742,48.788,1
159,2026-03-20T01:09:52.796,49.311,1
160,2026-03-20T01:09:52.849,49.191,1
161,2026-03-20T01:09:52.904,49.888,1
162,2026-03-20T01:09:52.959,50.075,1
163,2026-03-20T01:09:53.014,50.802,1
164,2026-03-20T01:09:53.068,49.427,1
165,2026-03-20T01:09:53.123,50.762,1
166,2026-03-20T01:09:53.177,49.519,1
167,2026-03-20T01:09:53.232,50.318,1
168,2026-03-20T01:09:53.286,49.528,1
169,2026-03-20T01:09:53.339,48.774,1
170,2026-03-20T01:09:53.392,48.845,1
171,2026-03-20T01:09:53.445,49.058,1
172,2026-03-20T01:09:53.499,49.994,1
173,2026-03-20T01:09:53.553,49.827,1
174,2026-03-20T01:09:53.608,50.111,1
175,2026-03-20T01:09:53.661,49.567,1
176,2026-03-20T01:09:53.718,52.282,1
177,2026-03-20T01:09:53.774,49.839,1
178,2026-03-20T01:09:53.829,50.975,1
179,2026-03-20T01:09:53.884,50.221,1
180,2026-03-20T01:09:53.937,48.827,1
181,2026-03-20T01:09:53.990,48.918,1
182,2026-03-20T01:09:54.044,49.927,1
183,2026-03-20T01:09:54.097,48.863,1
184,2026-03-20T01:09:54.151,49.451,1
185,2026-03-20T01:09:54.205,49.553,1
186,2026-03-20T01:09:54.259,50.222,1
187,2026-03-20T01:09:54.313,49.140,1
188,2026-03-20T01:09:54.366,48.840,1
189,2026-03-20T01:09:54.419,49.310,1
190,2026-03-20T01:09:54.473,49.320,1
191,2026-03-20T01:09:54.530,53.199,1
192,2026-03-20T01:09:54.587,51.932,1
193,2026-03-20T01:09:54.641,49.276,1
194,2026-03-20T01:09:54.695,49.909,1
195,2026-03-20T01:09:54.751,51.562,1
196,2026-03-20T01:09:54.806,51.640,1
197,2026-03-20T01:09:54.863,51.728,1
198,2026-03-20T01:09:54.916,49.503,1
199,2026-03-20T01:09:54.970,49.460,1
200,2026-03-20T01:09:55.024,49.361,1
201,2026-03-20T01:09:55.078,49.800,1
202,2026-03-20T01:09:55.132,49.787,1
203,2026-03-20T01:09:55.186,49.711,1
204,2026-03-20T01:09:55.240,49.938,1
205,2026-03-20T01:09:55.294,49.308,1
206,2026-03-20T01:09:55.351,53.051,1
207,2026-03-20T01:09:55.407,51.136,1
208,2026-03-20T01:09:55.462,50.595,1
209,2026-03-20T01:09:55.517,51.002,1
210,2026-03-20T01:09:55.573,51.394,1
211,2026-03-20T01:09:55.629,51.718,1
